param;value
filename;./inputData/BrasilNE50n.car
base_seed;1
nRuns;51
iterations;100
antsN;50
stagnation;30
favorites;0
gbPeriod;0
rhoNodes;0.1
rhoCars;0.1
rhoPass;0.1
alphaNodes;1.5
alphaCars;1.5
alphaPass;1.5
betaNodes;1.2
betaCars;1.2
betaPass;1.1
maxMinCars;0
maxMinNodes;0
pBestCars;0
useTBAS;0
sampleCars;1
enforceNoRerent;1
returnFactorCars;0
epsilonEtaCars;1e-06
smGammaCars;0.7
restartTargetCars;mid
exploreCars;0
exploreItersCars;20
exploreRhoMultCars;2
policyQ0;0.1
adaptiveQ0;1
q0Start;0.2
q0End;0.9
eliteKAnts;7
lsTopW;0
lsQuality;High
useReinsertion;1
reinsertionMaxPasses;5
dpCacheCapacity;5000
dpMaxSegmentLenOffset;5
intensifierEnabled;1
intensifierMaxStagnationIterations;3
intensifierResetPheromonesCount;2
intensifierPheromoneReductionGamma;0.3
intensifierArchiveAndResetBest;1
ablationDisableAntDepositsDuringIntensification;0
ablationResetPheromonesOnIntensifierActivation;0
ablationIntensifierOnlyNoAnts;0
ablationIntensifierOnlyRandomInitialTour;0
runSeeds;run0=9176377229071207081,run1=76241568449944305,run2=11569656429252920891,run3=8006770736520076435,run4=10222608011239175760,run5=83674907983555125,run6=16633518659454552880,run7=3348662810425028053,run8=1625020296661546126,run9=8722260422266777814,run10=18422523289718600251,run11=12120595211417451604,run12=11180516292616150398,run13=13235578871255005297,run14=17784125318686945540,run15=15956506419893335137,run16=2899130862535483918,run17=11850605890185619915,run18=13353388233111958045,run19=6644193456908987648,run20=9748498986499756733,run21=9610614758425770644,run22=16467222360164019310,run23=11726302834367551336,run24=8896860786397106362,run25=6737285527070588895,run26=11634350522773239934,run27=7808547232002136844,run28=3287009989320200796,run29=8484872300069380217,run30=8138020970177873692,run31=16735953543485209995,run32=957827445528146549,run33=9178821638437730898,run34=2354512119315649564,run35=10160966691791677292,run36=27474500062045820,run37=7844575079918988844,run38=15524044195614787644,run39=4980590106503615414,run40=3943098024137922559,run41=141425323448007506,run42=16001952662412044218,run43=6069959457317431616,run44=2033442876187297925,run45=7223543130371895193,run46=4350234967155519396,run47=10524526614539617298,run48=3004527168784687515,run49=3975454624479931874,run50=1666912681748276242
stagnationEvents;run0=1,run1=1,run2=2,run3=2,run4=2,run5=2,run6=2,run7=2,run8=1,run9=2,run10=2,run11=1,run12=2,run13=2,run14=2,run15=1,run16=2,run17=2,run18=2,run19=2,run20=2,run21=1,run22=2,run23=2,run24=2,run25=1,run26=2,run27=1,run28=2,run29=2,run30=1,run31=2,run32=1,run33=2,run34=1,run35=2,run36=2,run37=2,run38=2,run39=1,run40=2,run41=2,run42=1,run43=2,run44=2,run45=1,run46=2,run47=1,run48=1,run49=2,run50=2
lkCalls;run0=1,run1=1,run2=2,run3=2,run4=2,run5=2,run6=2,run7=2,run8=1,run9=2,run10=2,run11=1,run12=2,run13=2,run14=2,run15=1,run16=2,run17=2,run18=2,run19=2,run20=2,run21=1,run22=2,run23=2,run24=2,run25=1,run26=2,run27=1,run28=2,run29=2,run30=1,run31=2,run32=1,run33=2,run34=1,run35=2,run36=2,run37=2,run38=2,run39=1,run40=2,run41=2,run42=1,run43=2,run44=2,run45=1,run46=2,run47=1,run48=1,run49=2,run50=2
lkSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptCalls;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
tOptSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=0,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
kickCalls;run0=1,run1=1,run2=2,run3=2,run4=2,run5=2,run6=2,run7=2,run8=1,run9=2,run10=2,run11=1,run12=2,run13=2,run14=2,run15=1,run16=2,run17=2,run18=2,run19=2,run20=2,run21=1,run22=2,run23=2,run24=2,run25=1,run26=2,run27=1,run28=2,run29=2,run30=1,run31=2,run32=1,run33=2,run34=1,run35=2,run36=2,run37=2,run38=2,run39=1,run40=2,run41=2,run42=1,run43=2,run44=2,run45=1,run46=2,run47=1,run48=1,run49=2,run50=2
kickSuccess;run0=0,run1=0,run2=0,run3=0,run4=0,run5=0,run6=0,run7=0,run8=0,run9=0,run10=0,run11=0,run12=0,run13=0,run14=0,run15=0,run16=0,run17=0,run18=0,run19=0,run20=1,run21=0,run22=0,run23=0,run24=0,run25=0,run26=0,run27=0,run28=0,run29=0,run30=0,run31=0,run32=0,run33=0,run34=0,run35=0,run36=0,run37=0,run38=0,run39=0,run40=0,run41=0,run42=0,run43=0,run44=0,run45=0,run46=0,run47=0,run48=0,run49=0,run50=0
cacheEvalHitRate;run0=54.45%,run1=54.72%,run2=48.52%,run3=55.45%,run4=47.40%,run5=52.78%,run6=51.24%,run7=49.94%,run8=49.39%,run9=43.89%,run10=50.24%,run11=53.85%,run12=52.21%,run13=49.06%,run14=53.87%,run15=46.12%,run16=46.00%,run17=52.69%,run18=52.63%,run19=54.84%,run20=66.46%,run21=49.91%,run22=53.75%,run23=50.36%,run24=44.95%,run25=49.61%,run26=52.66%,run27=49.85%,run28=53.03%,run29=50.64%,run30=51.88%,run31=51.94%,run32=51.42%,run33=46.40%,run34=53.63%,run35=51.21%,run36=40.01%,run37=53.78%,run38=52.57%,run39=51.42%,run40=49.91%,run41=56.30%,run42=50.36%,run43=49.94%,run44=52.33%,run45=43.61%,run46=50.06%,run47=51.54%,run48=53.94%,run49=52.63%,run50=49.58%
cacheReasHitRate;run0=73.56%,run1=74.12%,run2=69.47%,run3=74.52%,run4=69.14%,run5=73.03%,run6=67.84%,run7=72.45%,run8=69.61%,run9=65.04%,run10=72.24%,run11=73.67%,run12=71.07%,run13=71.30%,run14=74.48%,run15=64.70%,run16=67.91%,run17=72.31%,run18=73.62%,run19=75.77%,run20=79.83%,run21=71.92%,run22=74.00%,run23=71.82%,run24=68.21%,run25=69.37%,run26=72.90%,run27=71.60%,run28=73.64%,run29=71.64%,run30=72.84%,run31=72.64%,run32=71.85%,run33=70.37%,run34=74.20%,run35=71.58%,run36=64.27%,run37=73.91%,run38=73.20%,run39=72.50%,run40=71.10%,run41=73.53%,run42=71.35%,run43=72.19%,run44=73.09%,run45=65.13%,run46=71.04%,run47=72.45%,run48=74.05%,run49=74.17%,run50=72.08%
lkSuccessRate;run0=0.00% (cache:54.5%),run1=0.00% (cache:54.7%),run2=0.00% (cache:48.5%),run3=0.00% (cache:55.4%),run4=0.00% (cache:47.4%),run5=0.00% (cache:52.8%),run6=0.00% (cache:51.2%),run7=0.00% (cache:49.9%),run8=0.00% (cache:49.4%),run9=0.00% (cache:43.9%),run10=0.00% (cache:50.2%),run11=0.00% (cache:53.8%),run12=0.00% (cache:52.2%),run13=0.00% (cache:49.1%),run14=0.00% (cache:53.9%),run15=0.00% (cache:46.1%),run16=0.00% (cache:46.0%),run17=0.00% (cache:52.7%),run18=0.00% (cache:52.6%),run19=0.00% (cache:54.8%),run20=0.00% (cache:66.5%),run21=0.00% (cache:49.9%),run22=0.00% (cache:53.8%),run23=0.00% (cache:50.4%),run24=0.00% (cache:44.9%),run25=0.00% (cache:49.6%),run26=0.00% (cache:52.7%),run27=0.00% (cache:49.8%),run28=0.00% (cache:53.0%),run29=0.00% (cache:50.6%),run30=0.00% (cache:51.9%),run31=0.00% (cache:51.9%),run32=0.00% (cache:51.4%),run33=0.00% (cache:46.4%),run34=0.00% (cache:53.6%),run35=0.00% (cache:51.2%),run36=0.00% (cache:40.0%),run37=0.00% (cache:53.8%),run38=0.00% (cache:52.6%),run39=0.00% (cache:51.4%),run40=0.00% (cache:49.9%),run41=0.00% (cache:56.3%),run42=0.00% (cache:50.4%),run43=0.00% (cache:49.9%),run44=0.00% (cache:52.3%),run45=0.00% (cache:43.6%),run46=0.00% (cache:50.1%),run47=0.00% (cache:51.5%),run48=0.00% (cache:53.9%),run49=0.00% (cache:52.6%),run50=0.00% (cache:49.6%)
tOptSuccessRate;run0=N/A,run1=N/A,run2=N/A,run3=N/A,run4=N/A,run5=N/A,run6=N/A,run7=N/A,run8=N/A,run9=N/A,run10=N/A,run11=N/A,run12=N/A,run13=N/A,run14=N/A,run15=N/A,run16=N/A,run17=N/A,run18=N/A,run19=N/A,run20=N/A,run21=N/A,run22=N/A,run23=N/A,run24=N/A,run25=N/A,run26=N/A,run27=N/A,run28=N/A,run29=N/A,run30=N/A,run31=N/A,run32=N/A,run33=N/A,run34=N/A,run35=N/A,run36=N/A,run37=N/A,run38=N/A,run39=N/A,run40=N/A,run41=N/A,run42=N/A,run43=N/A,run44=N/A,run45=N/A,run46=N/A,run47=N/A,run48=N/A,run49=N/A,run50=N/A

iter;weibull_k_run0;weibull_k_run1;weibull_k_run2;weibull_k_run3;weibull_k_run4;weibull_k_run5;weibull_k_run6;weibull_k_run7;weibull_k_run8;weibull_k_run9;weibull_k_run10;weibull_k_run11;weibull_k_run12;weibull_k_run13;weibull_k_run14;weibull_k_run15;weibull_k_run16;weibull_k_run17;weibull_k_run18;weibull_k_run19;weibull_k_run20;weibull_k_run21;weibull_k_run22;weibull_k_run23;weibull_k_run24;weibull_k_run25;weibull_k_run26;weibull_k_run27;weibull_k_run28;weibull_k_run29;weibull_k_run30;weibull_k_run31;weibull_k_run32;weibull_k_run33;weibull_k_run34;weibull_k_run35;weibull_k_run36;weibull_k_run37;weibull_k_run38;weibull_k_run39;weibull_k_run40;weibull_k_run41;weibull_k_run42;weibull_k_run43;weibull_k_run44;weibull_k_run45;weibull_k_run46;weibull_k_run47;weibull_k_run48;weibull_k_run49;weibull_k_run50;min;p10;q1;median;q3;p90;max;mean
23;8.5;9.3;6.7;7.0;8.3;10.0;6.9;8.2;9.1;9.2;8.1;6.0;11.8;9.1;8.2;6.7;6.9;7.8;8.2;7.8;7.1;6.8;7.0;7.6;8.2;7.1;7.3;8.1;8.3;9.7;6.7;6.6;7.3;7.4;5.9;8.2;6.8;7.0;6.7;9.1;9.7;7.1;8.1;7.3;7.4;6.7;11.5;7.1;6.5;9.2;7.8;5.9;6.7;6.9;7.6;8.3;9.3;11.8;7.9
24;13.9;10.0;7.2;8.3;8.8;10.0;10.3;8.2;8.6;9.0;9.0;6.4;12.0;8.5;8.8;8.1;7.2;8.0;8.5;8.5;8.1;7.6;8.8;8.3;9.0;12.9;8.6;11.0;9.4;8.5;8.7;9.4;9.1;9.2;8.8;9.1;7.4;10.4;7.1;7.8;12.9;12.0;6.7;7.1;9.7;9.6;10.1;9.2;8.1;7.8;7.2;6.4;7.2;8.1;8.8;9.5;11.0;13.9;9.0
25;13.0;12.1;9.0;9.1;9.8;10.3;10.1;12.4;10.7;11.4;8.7;8.0;11.1;14.3;8.5;10.0;10.3;11.4;9.4;10.4;9.3;7.1;12.1;8.3;11.2;10.7;8.2;10.7;9.6;8.0;12.8;9.4;11.2;11.5;9.9;10.4;9.7;9.0;9.8;12.0;12.8;12.7;8.5;12.6;11.3;9.1;11.8;9.6;9.4;8.9;11.7;7.1;8.5;9.2;10.3;11.5;12.6;14.3;10.4
26;17.4;16.7;8.0;12.4;16.3;13.6;14.6;11.1;14.6;12.6;10.0;7.4;11.6;13.7;8.9;9.7;11.5;14.0;12.0;10.2;12.0;8.1;10.8;8.0;14.3;10.8;9.8;13.8;8.9;9.7;11.8;15.0;13.2;11.2;14.9;9.8;11.6;9.2;9.9;10.9;20.3;9.3;10.5;9.1;13.2;11.6;14.2;10.6;10.4;9.3;11.1;7.4;8.9;9.8;11.2;13.6;14.9;20.3;11.8
27;15.9;16.2;19.0;11.2;16.6;15.6;12.7;12.9;14.5;19.4;10.1;9.6;12.7;15.6;9.4;14.2;18.0;13.9;11.0;12.7;18.4;9.4;17.0;8.7;16.1;13.1;7.8;14.7;8.6;12.1;18.1;17.1;15.0;11.8;23.5;14.1;11.0;12.8;14.7;14.4;17.3;13.8;9.7;15.1;14.8;9.5;15.7;13.0;13.8;12.7;10.4;7.8;9.5;11.5;13.9;15.8;18.0;23.5;13.8
28;21.6;15.3;15.3;15.9;17.8;19.2;14.1;15.1;13.4;17.2;12.1;14.8;19.5;12.0;11.5;18.5;9.8;20.9;14.9;12.2;16.5;10.9;27.0;10.4;22.9;17.0;11.4;12.5;10.6;9.9;16.8;16.8;14.0;19.0;27.5;16.0;14.6;15.1;14.7;15.2;22.9;12.3;9.9;13.4;22.4;11.9;16.4;14.1;18.5;11.7;13.7;9.8;10.9;12.2;15.1;17.5;21.6;27.5;15.6
29;30.7;20.6;17.9;28.8;16.7;16.2;21.4;16.9;19.4;14.8;15.1;10.6;26.3;14.2;12.3;27.5;13.8;30.8;17.5;15.6;17.5;10.4;16.7;12.4;34.0;19.3;14.1;15.6;14.4;15.2;21.6;14.5;18.3;16.5;28.6;21.1;13.3;14.6;13.2;17.7;25.0;17.9;11.8;13.9;19.2;11.2;14.9;13.0;19.0;16.1;11.8;10.4;12.3;14.1;16.5;19.3;27.5;34.0;17.8
30;34.6;24.4;19.0;20.2;17.1;27.7;29.3;23.2;18.6;30.5;14.7;21.1;33.9;15.8;18.0;39.6;13.5;26.5;22.8;68.1;25.7;9.1;20.6;11.4;54.9;18.2;17.7;24.6;10.1;28.7;21.4;15.8;16.4;17.0;44.4;33.1;17.2;19.9;11.8;19.9;88.4;14.8;10.4;18.7;33.1;15.9;19.7;19.5;22.2;25.7;23.0;9.1;13.5;17.1;20.2;27.1;34.6;88.4;24.5
31;66.5;40.1;19.3;51.4;15.4;18.1;30.5;21.4;17.4;27.5;11.0;24.1;66.8;18.4;14.6;16.5;13.1;16.5;28.5;41.1;33.2;10.0;17.6;13.2;35.0;11.4;20.5;18.9;12.4;18.0;21.7;17.5;18.5;33.7;25.4;37.6;17.1;18.6;22.0;28.0;73.1;29.6;10.5;14.4;33.6;15.1;27.8;18.4;16.2;25.9;11.9;10.0;12.4;16.3;18.9;29.1;40.1;73.1;24.8
32;44.1;41.6;20.0;100.0;16.4;13.6;22.8;11.2;20.4;22.2;17.7;32.6;70.9;17.4;18.4;88.1;14.4;30.4;28.1;100.0;100.0;14.5;34.7;13.1;47.3;14.4;19.5;18.8;20.6;15.5;31.9;31.6;25.9;30.4;100.0;35.9;19.0;29.5;18.8;17.0;100.0;29.2;14.0;20.4;52.8;19.8;24.6;24.2;23.1;22.9;11.3;11.2;14.4;18.1;22.9;33.6;88.1;100.0;33.5
33;nan;100.0;20.2;nan;15.8;17.7;33.5;18.8;51.9;21.1;10.5;29.0;76.3;20.2;49.5;100.0;13.3;100.0;26.5;nan;100.0;13.8;70.2;12.6;18.9;19.5;18.5;28.4;16.3;16.2;11.8;36.3;24.7;23.6;nan;45.7;16.7;52.2;21.3;47.2;37.7;18.8;12.3;22.6;42.2;18.3;17.9;23.8;100.0;17.4;23.7;10.5;13.6;17.8;22.6;43.9;85.8;100.0;34.7
34;nan;nan;23.1;nan;16.9;51.0;14.0;26.9;60.1;15.3;14.5;28.6;79.0;25.2;nan;nan;12.4;nan;40.3;nan;nan;18.3;100.0;12.9;100.0;21.7;21.9;17.6;30.1;31.4;23.1;50.7;26.5;23.9;nan;69.0;15.7;54.0;100.0;42.4;80.0;23.7;17.6;21.4;22.1;11.3;28.9;39.8;100.0;32.6;26.9;11.3;14.5;19.1;26.7;48.6;79.9;100.0;37.4
35;nan;nan;24.5;nan;30.7;100.0;22.9;15.4;53.9;14.5;15.7;100.0;94.0;23.3;nan;nan;12.6;nan;61.6;nan;nan;28.8;nan;13.3;100.0;24.4;37.3;20.1;31.1;48.9;15.1;100.0;25.6;21.1;nan;100.0;38.5;50.7;100.0;41.0;nan;27.3;13.4;34.4;100.0;24.0;44.6;64.5;100.0;48.6;42.9;12.6;15.0;23.2;35.9;62.3;100.0;100.0;46.6
36;nan;nan;20.0;nan;19.0;100.0;24.1;18.4;54.8;15.8;27.6;100.0;81.2;25.7;nan;nan;17.6;nan;100.0;nan;nan;26.6;nan;24.2;100.0;21.7;100.0;22.1;31.0;75.2;31.9;100.0;29.8;27.5;nan;100.0;40.4;nan;nan;55.1;nan;49.2;14.3;40.7;nan;15.0;40.8;85.7;nan;nan;54.2;14.3;17.9;23.1;31.9;78.2;100.0;100.0;48.3
37;nan;nan;57.0;nan;15.6;100.0;37.6;23.8;49.3;13.2;30.8;100.0;84.2;41.0;nan;nan;15.6;nan;nan;nan;nan;100.0;nan;62.1;100.0;27.2;nan;42.8;100.0;31.4;35.8;nan;27.7;14.7;nan;100.0;32.9;nan;nan;71.9;nan;55.5;17.2;45.6;nan;18.5;46.5;100.0;nan;nan;74.3;13.2;15.8;27.6;44.2;76.7;100.0;100.0;52.3
38;nan;nan;39.2;nan;21.1;100.0;32.4;28.4;47.8;13.6;70.3;100.0;94.7;24.1;nan;nan;25.8;nan;nan;nan;nan;100.0;nan;79.5;100.0;21.3;nan;45.5;100.0;64.6;34.7;nan;66.9;18.0;nan;100.0;23.6;nan;nan;70.5;nan;79.5;13.4;68.0;nan;40.2;79.7;nan;nan;nan;61.5;13.4;21.1;27.1;61.5;79.6;100.0;100.0;56.9
39;nan;nan;62.9;nan;15.2;nan;76.2;27.4;48.7;14.1;69.4;100.0;99.8;17.0;nan;nan;18.2;nan;nan;nan;nan;nan;nan;nan;100.0;21.1;nan;73.3;nan;28.6;nan;nan;100.0;53.0;nan;nan;29.2;nan;nan;69.9;nan;100.0;19.4;nan;nan;100.0;100.0;nan;nan;nan;63.3;14.1;17.4;25.8;63.1;99.9;100.0;100.0;58.6
40;nan;nan;74.4;nan;41.3;nan;nan;27.5;55.9;22.0;100.0;nan;83.9;34.3;nan;nan;13.0;nan;nan;nan;nan;nan;nan;nan;82.6;21.0;nan;100.0;nan;10.5;nan;nan;nan;23.7;nan;nan;29.6;nan;nan;nan;91.7;96.5;25.6;nan;nan;100.0;100.0;nan;nan;nan;57.9;10.5;21.0;25.6;55.9;91.7;100.0;100.0;56.7
41;nan;nan;22.9;nan;33.0;nan;97.2;30.2;54.5;17.9;100.0;100.0;83.9;58.2;nan;nan;19.1;nan;nan;nan;nan;nan;nan;nan;43.6;24.7;nan;100.0;100.0;50.7;nan;nan;nan;58.4;nan;100.0;18.3;nan;nan;71.5;nan;100.0;23.6;nan;nan;100.0;100.0;nan;nan;nan;63.2;17.9;20.6;30.2;58.4;100.0;100.0;100.0;62.8
42;nan;nan;15.6;nan;81.4;nan;nan;nan;48.7;12.7;100.0;100.0;83.9;nan;nan;nan;16.3;nan;nan;nan;nan;nan;nan;nan;100.0;22.7;nan;nan;100.0;58.8;nan;nan;nan;59.9;nan;100.0;25.2;nan;nan;nan;nan;100.0;20.4;nan;nan;100.0;100.0;nan;nan;nan;63.8;12.7;16.3;24.6;72.6;100.0;100.0;100.0;65.5
43;nan;nan;44.0;nan;76.4;nan;nan;nan;47.8;13.9;nan;100.0;83.9;nan;nan;nan;26.2;nan;nan;nan;nan;nan;nan;nan;61.0;22.1;nan;nan;nan;58.8;nan;nan;nan;nan;nan;100.0;14.5;nan;nan;nan;nan;100.0;34.5;nan;nan;nan;nan;nan;nan;nan;63.8;13.9;17.6;30.4;58.8;80.1;100.0;100.0;56.5
44;nan;nan;100.0;nan;100.0;nan;nan;nan;50.9;14.0;nan;100.0;nan;nan;nan;nan;16.5;nan;nan;nan;nan;nan;nan;nan;100.0;22.6;nan;nan;nan;59.3;nan;nan;nan;nan;nan;100.0;13.3;nan;nan;nan;nan;100.0;38.5;nan;nan;nan;nan;nan;nan;nan;nan;13.3;14.5;22.6;59.3;100.0;100.0;100.0;62.7
45;nan;nan;100.0;nan;nan;nan;nan;nan;47.8;13.2;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;22.7;nan;nan;100.0;38.4;nan;nan;nan;nan;nan;100.0;12.7;nan;nan;nan;nan;100.0;37.5;nan;nan;nan;nan;nan;nan;nan;nan;12.7;13.2;30.1;47.8;100.0;100.0;100.0;61.1
46;nan;nan;nan;nan;nan;nan;nan;nan;11.1;11.8;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.7;nan;nan;100.0;64.0;nan;nan;nan;nan;nan;100.0;14.1;nan;nan;nan;nan;nan;66.1;nan;nan;nan;nan;nan;nan;nan;nan;11.1;11.7;14.1;64.0;100.0;100.0;100.0;54.5
47;nan;nan;nan;nan;nan;nan;nan;nan;50.3;14.2;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;25.3;nan;nan;100.0;nan;nan;nan;nan;nan;nan;100.0;14.0;nan;nan;nan;nan;nan;35.5;nan;nan;nan;nan;nan;nan;nan;nan;14.0;14.1;19.7;35.5;75.1;100.0;100.0;48.5
48;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;22.9;nan;nan;100.0;nan;nan;nan;nan;nan;nan;100.0;38.9;nan;nan;nan;nan;nan;46.5;nan;nan;nan;nan;nan;nan;nan;nan;12.3;17.6;26.9;42.7;86.6;100.0;100.0;53.4
49;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.6;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;31.9;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;49.6;nan;nan;nan;nan;nan;nan;nan;nan;12.6;18.4;27.1;40.8;62.2;84.9;100.0;48.5
50;nan;nan;nan;nan;nan;nan;nan;nan;nan;16.8;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;87.9;nan;nan;nan;nan;nan;nan;nan;nan;16.8;31.0;52.3;87.9;94.0;97.6;100.0;68.2
51;nan;nan;nan;nan;nan;nan;nan;nan;nan;21.6;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;21.6;45.1;80.4;100.0;100.0;100.0;100.0;80.4
52;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;96.7;nan;nan;nan;nan;nan;nan;nan;nan;12.3;20.8;33.4;54.5;75.6;88.3;96.7;54.5
53;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.8;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.8;21.5;34.6;56.4;78.2;91.3;100.0;56.4
54;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.4;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;12.4;21.1;34.3;56.2;78.1;91.2;100.0;56.2
55;nan;nan;nan;nan;nan;nan;nan;nan;nan;21.6;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;21.6;21.6;21.6;21.6;21.6;21.6;21.6;21.6
56;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;23.3;23.3;23.3;23.3;23.3;23.3;23.3
57;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;38.6;61.6;100.0;100.0;100.0;100.0;74.4
58;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;31.0;42.5;61.6;80.8;92.3;100.0;61.6
59;nan;nan;nan;100.0;nan;nan;nan;nan;nan;23.3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;100.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;23.3;38.6;61.6;100.0;100.0;100.0;100.0;74.4
60;nan;nan;nan;nan;nan;nan;nan;nan;nan;38.9;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;38.9;38.9;38.9;38.9;38.9;38.9;38.9;38.9
61;nan;nan;nan;nan;nan;nan;nan;nan;nan;69.4;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;69.4;69.4;69.4;69.4;69.4;69.4;69.4;69.4
62;nan;nan;nan;nan;nan;nan;nan;nan;nan;69.4;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;69.4;69.4;69.4;69.4;69.4;69.4;69.4;69.4
